champ1,champ2,champ3,lane,gender,born_year,game_started_year,MBTI
99,235,50,SUPPORT,male,2004,2019,INFP
412,111,497,SUPPORT,male,2002,2015,ENTP
875,82,86,TOP,male,2003,2019,INFP
105,131,80,MID,male,2005,2019,ESFP
34,80,3,MID,male,1999,2013,ESTJ
68,56,80,MID,male,1996,2012,ENTP
517,266,164,MID,male,2000,2012,INFP
266,240,68,TOP,male,1994,2012,ENFP
555,53,412,SUPPORT,male,2005,2019,ISFP
89,111,412,SUPPORT,male,1987,2012,ISFJ
51,15,202,BOTTOM,male,1995,2018,ESTJ
53,89,412,SUPPORT,male,1995,2013,INFJ
81,22,235,BOTTOM,male,1994,2012,ENFP
164,266,517,TOP,male,1996,2013,INFP
60,64,59,JUNGLE,male,1996,2012,ENFP
157,266,517,MID,male,1998,2012,ENTJ
56,3,131,MID,male,1990,2018,ISFJ
104,106,245,JUNGLE,male,1989,2012,INTP
266,13,126,TOP,male,1999,2012,INFP
412,555,432,SUPPORT,male,1995,2012,INTP
875,122,82,TOP,male,1999,2012,INTP
107,82,122,TOP,male,2005,2016,INFP
103,7,12,SUPPORT,male,1994,2012,INFJ
105,90,62,MID,male,1996,2012,INTJ
432,44,117,SUPPORT,male,2002,2014,INTP
164,126,8,TOP,male,2003,2016,INTJ
145,29,523,BOTTOM,male,2001,2013,INTJ
58,82,516,TOP,male,2004,2017,ENFP
111,89,412,SUPPORT,male,2005,2014,ENFP
8,84,41,TOP,male,2004,2016,ENTP
266,84,10,TOP,male,2001,2015,ISTP
82,86,62,TOP,male,2001,2015,ENFP
81,51,22,BOTTOM,male,2002,2015,ISTP
60,421,876,JUNGLE,male,1998,2013,ENTJ
11,59,121,JUNGLE,male,1996,2013,INTP
80,39,517,MID,male,1998,2013,INFP
58,875,133,TOP,male,2001,2013,ISTJ
84,90,105,MID,male,1991,2019,ISTJ
38,120,114,MID,male,1999,2013,ENFJ
432,89,235,SUPPORT,male,1995,2019,ISFP
105,163,13,MID,male,2000,2013,ENFP
68,90,20,MID,male,1990,2017,ESTP
89,80,875,SUPPORT,male,1995,2012,ESFJ
81,22,21,BOTTOM,male,1995,2013,INTP
80,43,44,SUPPORT,male,1993,2012,ISFP
421,64,60,JUNGLE,male,1998,2012,INTP
238,517,84,MID,male,1995,2012,ESTP
6,57,78,TOP,male,2000,2017,INFP
81,523,202,BOTTOM,male,1997,2013,ENFP
22,202,110,BOTTOM,male,2000,2013,INTP
412,432,25,SUPPORT,male,2003,2015,ENTP
104,76,64,JUNGLE,male,2002,2016,ISFP
21,81,236,BOTTOM,male,2001,2013,ISFP
64,104,517,JUNGLE,male,1997,2012,ESFP
875,89,201,SUPPORT,male,1995,2012,ENFP
412,111,43,SUPPORT,male,1999,2013,INTP
7,8,82,MID,male,1996,2014,INFJ
235,201,89,SUPPORT,male,1992,2019,INTP
91,777,43,MID,male,1990,2013,ESTP
518,3,80,MID,male,2000,2018,ENFP
107,39,122,TOP,male,1998,2013,ISFP
57,78,875,TOP,male,1997,2015,ISTJ
429,40,80,SUPPORT,male,2000,2013,ENFP
412,143,111,SUPPORT,male,1999,2014,INFP
222,110,21,BOTTOM,male,1994,2013,INTP
84,777,517,MID,male,1996,2012,INFP
245,421,154,JUNGLE,male,2000,2014,ISFJ
81,110,15,BOTTOM,male,2000,2014,ENTP
59,5,64,JUNGLE,male,1998,2012,ISTP
105,56,99,MID,male,1997,2012,ENFP
64,154,245,JUNGLE,male,2000,2013,ISTP
2,39,236,TOP,male,2001,2013,ENTP
421,28,154,JUNGLE,male,2003,2016,ISTP
99,350,11,SUPPORT,male,1995,2015,ISFJ
91,80,105,MID,male,1996,2015,INTJ
141,104,30,JUNGLE,male,1992,2012,ENFP
412,26,80,SUPPORT,male,1995,2013,ISFP
266,82,516,TOP,male,2000,2013,ESTP
432,89,412,SUPPORT,male,1991,2013,ESFJ
75,875,57,TOP,male,1996,2012,ENTP
432,412,12,SUPPORT,male,1996,2014,ISFP
22,145,81,BOTTOM,male,2005,2019,INFP
111,235,350,SUPPORT,male,2001,2018,INFP
89,432,412,SUPPORT,male,1998,2013,ISTP
67,429,145,BOTTOM,male,1998,2013,INTJ
75,57,516,TOP,male,2001,2015,ISTJ
83,106,516,TOP,male,2001,2015,INFP
497,111,89,SUPPORT,male,1995,2015,INFP
30,72,64,JUNGLE,male,2001,2013,ESTP
48,5,203,JUNGLE,male,2001,2013,ESFP
154,421,60,JUNGLE,male,2005,2019,ISTJ
80,142,246,MID,male,1998,2012,ISFJ
235,412,875,SUPPORT,male,1998,2013,INFP
91,136,517,MID,male,1997,2012,ENTP
86,57,122,TOP,male,2005,2019,INFP
235,412,16,SUPPORT,male,1999,2014,ISFP
58,517,107,TOP,male,2003,2017,ISFP
22,51,21,BOTTOM,male,1996,2016,INFP
89,412,53,SUPPORT,male,2001,2012,ENFP
142,61,4,MID,male,2000,2013,ENFP
90,42,3,MID,male,1997,2012,ISFP
22,145,51,BOTTOM,male,2005,2019,ESTP
81,202,236,BOTTOM,male,2002,2014,INFP
266,875,57,TOP,male,1998,2013,ISFP
106,82,78,TOP,male,2005,2015,ISFP
22,523,110,BOTTOM,male,1995,2012,INFJ
80,91,517,MID,male,2003,2019,ISTP
55,517,134,MID,male,2002,2015,ISFJ
117,57,89,SUPPORT,male,1993,2013,INFP
161,53,25,SUPPORT,male,1986,2012,ENFP
90,56,103,MID,male,1988,2015,ENTJ
516,86,875,TOP,male,2006,2019,INFJ
412,40,53,SUPPORT,male,2003,2017,INTJ
35,26,89,SUPPORT,male,2001,2012,ENFP
555,69,157,MID,male,2003,2018,INTP
432,111,43,SUPPORT,male,1997,2013,ISTP
51,202,81,BOTTOM,male,1995,2012,INFP
201,875,412,SUPPORT,male,2002,2018,ISTP
235,89,80,SUPPORT,male,2001,2014,INFP
54,80,84,MID,male,1999,2012,ENFP
21,81,145,BOTTOM,male,1998,2014,INTP
24,8,266,TOP,male,1997,2012,INTP
22,67,21,BOTTOM,male,2001,2013,ENTP
164,24,133,TOP,male,2000,2014,INTP
81,145,236,BOTTOM,male,2003,2013,INTP
26,117,43,SUPPORT,male,1988,2014,ISTP
19,9,876,JUNGLE,male,1999,2012,ISFJ
517,80,157,MID,male,2006,2020,ESFP
81,51,202,BOTTOM,male,1998,2013,ESTJ
142,517,84,MID,male,2001,2016,ENFJ
64,876,141,JUNGLE,male,1996,2013,INTJ
360,22,81,BOTTOM,male,1996,2014,ISTP
98,2,75,TOP,male,2001,2015,ENTJ
517,4,13,MID,male,1997,2012,ENTP
21,22,81,BOTTOM,male,2001,2020,ISFJ
8,238,69,MID,male,1998,2012,INTP
26,89,111,SUPPORT,male,1994,2012,ISFJ
154,80,122,TOP,male,2006,2019,ESFP
91,555,517,MID,male,1996,2020,ENFP
57,54,27,TOP,male,1993,2013,INFP
117,26,63,SUPPORT,male,1988,2017,ENFP
432,89,412,SUPPORT,male,1996,2013,INTP
20,84,131,MID,male,1999,2014,INTP
82,58,164,TOP,male,1982,2012,INFP
106,19,30,JUNGLE,male,1998,2013,ISFP
3,875,245,MID,male,2001,2020,INTP
777,157,164,TOP,male,2002,2016,ENFP
235,51,22,BOTTOM,male,1998,2014,INFJ
64,245,60,JUNGLE,male,2002,2014,INTJ
111,235,412,SUPPORT,male,2006,2020,ENTJ
28,60,154,JUNGLE,male,,2019,INTP
37,80,412,SUPPORT,male,2002,2012,ENTJ
1,38,45,MID,male,1992,2012,ISFJ
164,39,82,TOP,male,2002,2014,ENTP
875,266,8,TOP,male,2006,2018,INFJ
22,21,51,BOTTOM,male,1999,2013,ISFJ
203,5,245,JUNGLE,male,2001,2013,ISTJ
